elo_rank,player,age,elo,helo,celo,gelo,atp_rank
485,Francesca Pace,20.9,1269.6,1262.8,1244.9,1309.8,324
486,Leonie Kung,24.9,1268.4,1297.5,1226.5,1256.0,909
487,Anna Sinclair Rogers,28.3,1268.3,1240.2,1242.1,1324.7,330
488,Carolina Alves,30.2,1267.2,1268.7,1251.3,1260.0,314
489,Briana Szabo,20.6,1266.0,1238.3,1280.2,1383.0,547
490,Urszula Radwanska,35.6,1264.1,1236.0,1319.8,1304.3,641
491,Jiaqi Wang,24.1,1261.6,1246.8,1228.3,1305.8,400
492,Ankita Raina,33.5,1261.5,1233.0,1317.2,1267.4,598
493,Martina Colmegna,29.6,1260.3,1245.2,1248.5,1305.2,347
494,Yujia Huang,23.7,1258.3,1300.0,1140.7,1304.2,481
495,Dasha Plekhanova,22.4,1257.6,1234.6,1204.6,1303.8,803
496,Alana Smith,26.7,1256.3,1258.9,1160.1,1273.8,425
497,Peangtarn Plipuech,33.5,1254.6,1255.0,1175.7,1277.6,726
498,Stephanie Judith Visscher,26.5,1253.0,1255.3,1176.0,1301.5,388
499,Ying Zhang,30.2,1248.0,1238.2,1194.5,1299.0,676
500,Eri Shimizu,27.9,1245.0,1225.9,1237.5,1303.6,417
501,Astrid Lew Yan Foon,20.9,1243.8,1249.6,1214.2,1296.9,473
502,Vaishnavi Adkar,21.5,1241.0,1227.2,1235.5,1295.5,392
503,Laura Hietaranta,22.4,1240.3,1223.1,1208.8,1295.1,408
504,Celia Cervino Ruiz,28.6,1236.8,1232.9,1190.0,1293.4,686
505,Ruien Zhang,18.2,1235.9,1226.6,1232.9,1292.9,658
506,Nina Vargova,20.8,1235.1,1208.6,1213.2,1292.6,409
507,Laura Mair,23.6,1233.8,1210.9,1230.1,1291.9,433
508,Maria Martinez Vaquero,24.4,1228.4,1256.7,1142.5,1289.2,509
509,Jasmijn Gimbrere,25.4,1222.6,1218.7,1201.5,1242.8,487
510,Ksenia Zaytseva,21.9,1222.1,1247.0,1188.1,1286.1,537
511,Katerina Tsygourova,26.2,1221.8,1212.1,1211.2,1285.9,394
512,Victoria Bosio,31.7,1220.0,1190.5,1203.6,1285.0,323
513,Isabella Maria Serban,20.3,1219.4,1223.4,1196.9,1284.7,511
514,Ana Candiotto,22.2,1214.8,1201.6,1197.3,1282.4,457
515,Martina Okalova,29.1,1213.6,1222.4,1187.8,1281.8,492
516,Nicole Fossa Huergo,30.7,1209.6,1198.5,1176.4,1279.8,628
517,Chelsea Fontenel,22.0,1206.4,1235.9,1152.3,1278.2,625
518,Jana Otzipka,21.5,1206.2,1241.8,1162.5,1278.1,491
519,Sara Cakarevic,29.3,1202.3,1184.5,1210.4,1276.2,578
520,Nika Radisic,26.2,1196.0,1192.7,1199.2,1348.0,897
521,Victoria Hu,24.1,1194.8,1191.9,1164.4,1272.4,529
522,Gina Marie Dittmann,23.8,1190.4,1176.9,1184.9,1270.2,523
523,Ikumi Yamazaki,24.9,1189.0,1188.8,1215.3,1269.5,647
524,Marine Szostak,24.4,1184.1,1152.7,1221.8,1267.0,738
525,Gabriella Da Silva Fick,25.8,1184.0,1168.5,1177.4,1267.0,701
526,Yaroslava Bartashevich,21.2,1181.5,1132.5,1167.1,1265.8,530
527,Kristina Novak,25.7,1180.9,1199.2,1125.9,1265.4,691
528,Valeriya Strakhova,31.1,1173.2,1105.6,1185.3,1261.6,551
529,Daria Zelinskaya,21.8,1168.9,1157.4,1199.5,1259.5,605
530,Mayuka Aikawa,28.3,1167.6,1127.3,1176.9,1258.8,556
531,Natalija Senic,23.6,1166.7,1255.1,1109.6,1258.4,357
532,Sofia Shapatava,37.5,1163.2,1165.2,1155.5,1227.0,469
533,Chengyiyi Yuan,25.7,1152.4,1070.0,1237.1,1251.2,443
534,Lian Tran,24.0,1152.3,1191.1,1133.6,1254.3,830
535,Nadiia Kolb,33.2,1150.7,1134.4,1147.6,1250.3,910
536,Ekaterina Yashina,32.9,1145.9,1143.4,1108.7,1208.1,514
537,Julia Adams,26.8,1131.6,1148.9,1119.0,1240.8,480
538,Ana Grubor,22.5,1127.8,1137.6,1114.8,1238.9,515
539,Sapfo Sakellaridi,23.3,1119.6,1069.8,1123.8,1234.8,448
540,Demi Tran,25.6,1092.4,1149.0,1065.1,1221.2,698
541,Alba Rey Garcia,24.1,1089.1,1086.3,1097.3,1219.6,634
542,Chenting Zhu,18.7,1082.0,1064.4,1125.5,1216.0,638
543,Amy Zhu,31.6,1050.8,1060.2,1084.7,1200.4,697
544,Sara Lanca,28.9,1019.6,1003.5,1077.3,1184.8,1170
